factory_id,hvac_id,plant_name,city,state_province,country,latitude,longitude,notes
111c5684-b9e0-4fda-bcd0-47df1852c7ff,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Alabama Corp.,Shorter,,Alabama,32.3948615,-85.916902,
9ecd8a27-6bab-4477-b4c1-2421053da77d,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Statesboro,Statesboro,,Georgia,32.4490141,-81.7832912,
fa861052-189e-4855-bc7f-7303465a27c3,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems USA,LLC,Carey,Carey,40.9525551,-83.3824238,
18b74180-dfe8-4252-8e4c-09737e340db4,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems USA,Novi,,Michigan,42.48059,-83.4754913,Novi
2874dab2-149e-4e35-9f8c-be8844919c4e,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Loudon,Loudon,,Tennessee,35.7490023,-84.320293,
c62a27bf-9bb4-4bb9-93c9-c051179fd243,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Canada Inc.,Belleville,,Ontario,44.2436328,-77.3607597,
c99e0fb2-206e-40b6-941a-9d8e388ba5e0,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems EFP Canada Ltd.,Concord,,Ontario,43.8003622,-79.4993876,
373f94b3-4690-4889-9d5d-f5e867271082,64e289f5-48d7-45a7-8a40-50ceed254f31,Hanon Systems Canada,Woodbridge,,Ontario,43.7848982,-79.5923855,Woodbridge
05fc47b9-841e-44fd-9db7-44374f128e1f,64e289f5-48d7-45a7-8a40-50ceed254f31,Coclisa S.A. de C.V.,Ciudad Juárez,,Chihuahua,31.7372575,-106.485655,Juárez 1 FT
aa54e887-3dfa-479f-943b-69aeec0d259b,64e289f5-48d7-45a7-8a40-50ceed254f31,Juárez 1 PTC/HEX,Ciudad Juárez,,Chihuahua,31.7372575,-106.485655,
c72197de-94d4-4b42-8615-215c3337d9ea,64e289f5-48d7-45a7-8a40-50ceed254f31,Juárez 2,Ciudad Juárez,,Chihuahua,31.7405028,-106.4874685,
2a8a3811-9835-4b1f-b4fc-b4c5f600381b,64e289f5-48d7-45a7-8a40-50ceed254f31,EFP Operations Mexicana,S.A. de C.V.,,Monterrey (Apodaca),25.7271828,-100.1916969,
66cdf9b7-9395-4ddf-9e28-42875f691341,64e289f5-48d7-45a7-8a40-50ceed254f31,Querétaro Site,El Marqués,,Querétaro,20.7350778,-100.2835765,El Marqués
7b6d673c-7879-4826-9ea5-c51cf2b5330b,e9b11aef-fcd4-4182-b3dc-69fb772940b9,DENSO Manufacturing Arkansas,Osceola,,Arkansas,35.7050778,-89.969532,
7838f7b3-5cdb-47c5-8b5a-210a58191994,e9b11aef-fcd4-4182-b3dc-69fb772940b9,DENSO Manufacturing North Carolina,Statesville,,North Carolina,35.7826363,-80.8872959,
b00b965e-46bd-4c62-8954-c8fa67d8a58a,e9b11aef-fcd4-4182-b3dc-69fb772940b9,DENSO Thermal Systems S.p.A.,Poirino,Turin,Italy,44.920845,7.846928,
9e773416-fdff-4dbc-be57-79e35de5cfb1,e9b11aef-fcd4-4182-b3dc-69fb772940b9,DENSO Czech s.r.o.,Liberec,,Czech Republic,50.7702648,15.0583947,
4d6821d2-de60-4bb1-88d5-cad835178259,e9b11aef-fcd4-4182-b3dc-69fb772940b9,DENSO Hungary Ltd.,Székesfehérvár,,Hungary,47.1910169,18.410811,
c42ce41b-2ad5-480c-8e51-f209a74304e6,e9b11aef-fcd4-4182-b3dc-69fb772940b9,DENSO Poland Sp. z o.o.,Szczecin,,Poland,53.4301818,14.5509623,
63494dc7-1d7e-4fc7-9239-7d275f4e56da,e9b11aef-fcd4-4182-b3dc-69fb772940b9,DENSO Thermal Systems,Shanghai,,China,31.2312707,121.4700152,Shanghai
ce70c2a5-504b-4e0d-af5d-8ed314ac1e33,9952b4f3-5615-4c30-80de-9335c562ce66,Valeo Thermal Systems Czech,Žebrák,,Czech Republic,49.8757493,13.8966867,
8068da71-7b89-4a3f-b6f5-f81fbd566280,9952b4f3-5615-4c30-80de-9335c562ce66,Valeo Climatisation Frankreich,La Verrière,,France,48.7555258,1.9554697,
9bf7ffbc-892e-4fac-8bf6-a3c7ecef0429,9952b4f3-5615-4c30-80de-9335c562ce66,Valeo Thermal Systems Hungary,Veszprém,,Hungary,47.0933824,17.9080406,
525990c8-8854-46c6-a37e-927a9f24610a,9952b4f3-5615-4c30-80de-9335c562ce66,Valeo Thermal Systems Mexico,San Luis Potosí,,Mexico,22.5000001,-100.4949145,
92ce10df-fc0e-4ccb-af35-29cd6f90620e,a7c6b191-74db-4df2-875d-eda073e7cb77,Wuhu Manufacturing,Wuhu,,Anhui,31.1800568,118.2141777,
28482226-2f21-41c4-afdf-fa8f1ac2224e,a7c6b191-74db-4df2-875d-eda073e7cb77,Odzaci Facility,Odžaci,,Serbia,45.5058662,19.2597368,
